Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Year,Month,Day
0,9.4,17.5,0.0,0.0,0.0,0,33.0,0,0,0,0,57.0,32.0,1031.1,1026.2,0.0,0.0,11.6,17.0,0,0.0,2024,8,1
0,5.7,15.9,0.0,0.0,0.0,1,28.0,1,1,1,1,87.0,63.0,1026.3,1024.0,0.0,0.0,9.0,15.3,0,0.0,2024,8,6
0,5.9,18.4,0.0,0.0,0.0,2,31.0,2,0,1,1,66.0,50.0,1025.7,1020.9,0.0,0.0,11.7,17.6,0,0.0,2024,8,7
0,7.0,15.8,1.6,0.0,0.0,3,19.0,3,2,2,2,92.0,74.0,1026.9,1025.6,0.0,0.0,10.1,14.7,1,0.0,2024,8,9
0,7.0,21.7,0.2,0.0,0.0,4,24.0,0,1,3,3,49.0,34.0,1029.2,1025.4,0.0,0.0,14.8,21.1,0,0.0,2024,8,11
0,13.6,23.9,0.0,0.0,0.0,2,39.0,2,3,3,1,63.0,42.0,1025.8,1021.7,0.0,0.0,16.1,21.7,0,0.0,2024,8,12
0,16.1,22.8,0.0,0.0,0.0,5,35.0,2,3,4,1,44.0,41.0,1021.2,1017.8,0.0,0.0,18.9,21.2,0,0.0,2024,8,13
0,7.0,17.7,1.2,0.0,0.0,1,20.0,2,4,5,3,81.0,81.0,1019.4,1017.5,0.0,0.0,12.6,14.3,1,0.0,2024,8,18
0,10.9,19.8,0.0,0.0,0.0,0,41.0,0,0,0,1,59.0,56.0,1016.8,1013.4,0.0,0.0,16.2,17.0,0,0.0,2024,8,19
0,10.0,20.2,2.0,0.0,0.0,1,19.0,2,3,6,3,99.0,52.0,1020.7,1019.0,0.0,0.0,12.2,18.2,1,0.0,2024,8,22
0,11.3,25.2,0.0,0.0,0.0,6,48.0,2,5,4,4,41.0,36.0,1013.7,1005.4,0.0,0.0,19.9,24.8,0,0.0,2024,8,23
0,11.8,23.0,0.0,0.0,0.0,1,26.0,2,6,3,5,87.0,49.0,1013.4,1010.7,0.0,0.0,15.1,21.9,0,0.0,2024,8,24
0,11.7,17.5,2.0,0.0,0.0,7,35.0,4,3,0,1,89.0,72.0,1021.4,1019.8,0.0,0.0,14.1,17.3,1,0.0,2024,8,26
0,11.2,23.5,0.2,0.0,0.0,2,63.0,1,0,4,6,66.0,37.0,1015.4,1008.3,0.0,0.0,15.5,23.3,0,0.0,2024,8,27
