,2024-02-1,19.0,27.2,0,,,,,,22.5,79,0,SE,28,1015.5,,,,,,1011.3
,2024-02-2,18.8,23.0,0,,,,,,20.8,83,1,SW,7,1013.1,,,,,,1011.8
,2024-02-3,18.0,21.7,0.2,,,,,,19.8,83,7,S,13,1012.4,,,,,,1012.1
,2024-02-4,16.2,19.9,0.6,,,,,,17.5,66,7,SW,9,1017.0,,,,,,1017.4
,2024-02-5,13.9,21.5,0,,,,,,19.4,56,3,S,7,1022.5,,,,,,1022.1
,2024-02-6,15.4,22.5,0,,,,,,18.6,62,8,NE,4,1026.2,,,,,,1022.8
,2024-02-7,15.3,25.1,0,,,,,,22.1,53,0,E,7,1023.2,,,,,,1019.5
,2024-02-8,16.2,24.5,0,,,,,,22.5,78,0,SE,26,1020.9,,,,,,1019.2
,2024-02-9,19.5,24.2,0,,,,,,22.2,89,2,E,37,1022.7,,,,,,1020.0
,2024-02-10,18.5,26.0,0,,,,,,23.0,84,0,ESE,37,1018.6,,,,,,1015.2
,2024-02-11,18.0,22.0,0,,,,,,20.3,95,8,SW,11,1017.1,,,,,,1015.9
,2024-02-12,19.6,22.5,0,,,,,,19.9,84,8,S,20,1018.6,,,,,,1019.0
,2024-02-13,16.5,21.5,0,,,,,,19.0,81,4,S,6,1024.2,,,,,,1022.9
,2024-02-14,17.5,22.8,0,,,,,,20.0,64,8,E,6,1022.3,,,,,,1017.9
,2024-02-15,17.1,23.3,0,,,,,,22.3,72,3,E,31,1016.6,,,,,,1012.4
,2024-02-16,19.6,24.7,0,,,,,,23.0,76,7,ESE,7,1012.3,,,,,,1013.5
,2024-02-17,19.2,22.6,0,,,,,,20.5,82,8,S,13,1020.0,,,,,,1019.4
,2024-02-18,19.0,24.3,0,,,,,,21.2,73,7,ENE,9,1020.8,,,,,,1017.8
,2024-02-19,19.5,29.0,0,,,,,,21.9,75,8,N,4,1017.7,,,,,,1012.9
,2024-02-20,20.6,36.1,0,,,,,,28.6,33,8,NE,7,1007.6,,,,,,1004.4
,2024-02-21,20.0,21.7,0.2,,,,,,21.0,91,8,W,50,1007.4,,,,,,1011.1
,2024-02-22,17.5,21.8,0,,,,,,19.8,60,5,S,15,1021.2,,,,,,1020.7
,2024-02-23,17.8,23.5,0,,,,,,21.4,49,3,ENE,19,1020.2,,,,,,1014.6
,2024-02-24,18.5,26.7,0,,,,,,20.5,84,8,SSW,7,1010.3,,,,,,1014.9
,2024-02-25,17.3,21.0,0,,,,,,20.0,54,2,SE,30,1020.5,,,,,,1018.3
,2024-02-26,17.2,21.0,0.3,,,,,,18.8,91,8,E,4,1015.8,,,,,,1010.9
,2024-02-27,15.5,19.8,5.2,,,,,,18.0,69,6,W,31,1014.7,,,,,,1015.9
,2024-02-28,15.0,21.0,1.0,,,,,,18.8,64,7,W,6,1016.1,,,,,,1013.8
,2024-02-29,12.4,22.7,0,,,,,,18.0,75,1,S,6,1018.2,,,,,,1015.4
